NIVNOME;TERCODIGO;TERNOME;TERNOMEPADRAO;TERCAPITAL;TERAREA;NIVAMC
Brasil;0;Brasil;BRASIL;False;8531507.6;False
Regiões;1;Região Norte;REGIAO NORTE;False;3869637.9;False
Estados;11;Rondônia;RONDONIA;False;238512.80000000005;False
Municípios;1100015;Alta Floresta D'Oeste;ALTA FLORESTA D'OESTE;False;7111.8;False
Municípios;1100023;Ariquemes;ARIQUEMES;False;4995.3;False
Municípios;1100031;Cabixi;CABIXI;False;1530.7;False
Municípios;1100049;Cacoal;CACOAL;False;3808.4;False
Municípios;1100056;Cerejeiras;CEREJEIRAS;False;2645.0;False
Municípios;1100064;Colorado do Oeste;COLORADO DO OESTE;False;1442.4;False
Municípios;1100072;Corumbiara;CORUMBIARA;False;3079.7;False
Municípios;1100080;Costa Marques;COSTA MARQUES;False;5140.6;False
AMC 91-00;110009;Espigão D'Oeste;ESPIGAO D'OESTE;False;4523.8;True
Municípios;1100098;Espigão D'Oeste;ESPIGAO D'OESTE;False;4523.8;False
Microrregiões;11001;Porto Velho;PORTO VELHO;False;65905.9;False
AMC 91-00;110010;Guajará-Mirim;GUAJARA-MIRIM;False;25214.0;True
Municípios;1100106;Guajará-Mirim;GUAJARA-MIRIM;False;25214.0;False
Municípios;1100114;Jaru;JARU;False;2909.6;False
AMC 91-00;110012;Ji-Paraná;JI-PARANA;False;6922.5;True
Municípios;1100122;Ji-Paraná;JI-PARANA;False;6922.5;False
Municípios;1100130;Machadinho D'Oeste;MACHADINHO D'OESTE;False;8556.1;False
AMC 91-00;110014;Nova Brasilândia D'Oeste;NOVA BRASILANDIA D'OESTE;False;1159.9;True
Municípios;1100148;Nova Brasilândia D'Oeste;NOVA BRASILANDIA D'OESTE;False;1159.9;False
Municípios;1100155;Ouro Preto do Oeste;OURO PRETO DO OESTE;False;1978.2;False
Municípios;1100189;Pimenta Bueno;PIMENTA BUENO;False;6258.0;False
Microrregiões;11002;Guajará-Mirim;GUAJARA-MIRIM;False;41315.6;False
Municípios;1100205;Porto Velho;PORTO VELHO;True;34209.5;False
AMC 91-00;110025;Presidente Médici;PRESIDENTE MEDICI;False;1693.4;True
Municípios;1100254;Presidente Médici;PRESIDENTE MEDICI;False;1693.4;False
Municípios;1100262;Rio Crespo;RIO CRESPO;False;1729.9;False
Municípios;1100288;Rolim de Moura;ROLIM DE MOURA;False;1487.3;False
AMC 91-00;110029;Santa Luzia D'Oeste;SANTA LUZIA D'OESTE;False;1187.7;True
Municípios;1100296;Santa Luzia D'Oeste;SANTA LUZIA D'OESTE;False;1187.7;False
Microrregiões;11003;Ariquemes;ARIQUEMES;False;24500.100000000002;False
Municípios;1100304;Vilhena;VILHENA;False;11411.2;False
Municípios;1100320;São Miguel do Guaporé;SAO MIGUEL DO GUAPORE;False;7814.9;False
AMC 91-00;110033;Nova Mamoré;NOVA MAMORE;False;10113.4;True
Municípios;1100338;Nova Mamoré;NOVA MAMORE;False;10113.4;False
Municípios;1100346;Alvorada D'Oeste;ALVORADA D'OESTE;False;2982.2;False
Municípios;1100379;Alto Alegre dos Parecis;ALTO ALEGRE DOS PARECIS;False;3952.7;False
Microrregiões;11004;Ji-Paraná;JI-PARANA;False;25124.800000000003;False
Municípios;1100403;Alto Paraíso;ALTO PARAISO;False;2658.7;False
Municípios;1100452;Buritis;BURITIS;False;3286.6;False
Microrregiões;11005;Alvorada D'Oeste;ALVORADA D'OESTE;False;15617.6;False
Municípios;1100502;Novo Horizonte do Oeste;NOVO HORIZONTE DO OESTE;False;833.5;False
Microrregiões;11006;Cacoal;CACOAL;False;24681.7;False
Municípios;1100601;Cacaulândia;CACAULANDIA;False;2010.4;False
Microrregiões;11007;Vilhena;VILHENA;False;26540.4;False
Municípios;1100700;Campo Novo de Rondônia;CAMPO NOVO DE RONDONIA;False;3455.9;False
Microrregiões;11008;Colorado do Oeste;COLORADO DO OESTE;False;14826.699999999999;False
Municípios;1100809;Candeias do Jamari;CANDEIAS DO JAMARI;False;6867.6;False
Municípios;1100908;Castanheiras;CASTANHEIRAS;False;901.2;False
Municípios;1100924;Chupinguaia;CHUPINGUAIA;False;5150.7;False
Municípios;1100940;Cujubim;CUJUBIM;False;4034.9;False
Mesorregiões;1101;Madeira-Guaporé;MADEIRA-GUAPORE;False;107221.5;False
Municípios;1101005;Governador Jorge Teixeira;GOVERNADOR JORGE TEIXEIRA;False;5091.6;False
Municípios;1101104;Itapuã do Oeste;ITAPUA DO OESTE;False;3938.0;False
Municípios;1101203;Ministro Andreazza;MINISTRO ANDREAZZA;False;875.3;False
Municípios;1101302;Mirante da Serra;MIRANTE DA SERRA;False;1253.7;False
Municípios;1101401;Monte Negro;MONTE NEGRO;False;1413.4;False
Municípios;1101435;Nova União;NOVA UNIAO;False;804.1;False
Municípios;1101450;Parecis;PARECIS;False;2558.6;False
Municípios;1101468;Pimenteiras do Oeste;PIMENTEIRAS DO OESTE;False;6128.9;False
Municípios;1101476;Primavera de Rondônia;PRIMAVERA DE RONDONIA;False;615.4;False
Municípios;1101484;São Felipe D'Oeste;SAO FELIPE D'OESTE;False;546.5;False
Municípios;1101492;São Francisco do Guaporé;SAO FRANCISCO DO GUAPORE;False;10961.0;False
Municípios;1101500;Seringueiras;SERINGUEIRAS;False;3660.6;False
Municípios;1101559;Teixeirópolis;TEIXEIROPOLIS;False;455.8;False
Municípios;1101609;Theobroma;THEOBROMA;False;2199.0;False
Municípios;1101708;Urupá;URUPA;False;849.7;False
Municípios;1101757;Vale do Anari;VALE DO ANARI;False;3136.3;False
Municípios;1101807;Vale do Paraíso;VALE DO PARAISO;False;967.2;False
Mesorregiões;1102;Leste Rondoniense;LESTE RONDONIENSE;False;131291.29999999996;False
AMC 20-00;11AMC2097001;AMC2097 001;AMC2097 001;;238512.80000000005;True
AMC 40-00;11AMC4097001;AMC4097 001;AMC4097 001;;238512.80000000005;True
AMC 60-00;11AMC6097001;AMC6097 001;AMC6097 001;;238512.80000000005;True
AMC 70-00;11AMC7097001;AMC7097 001;AMC7097 001;False;238512.80000000005;True
AMC 91-00;11AMC9197001;AMC9197 001;AMC9197 001;False;4683.7;True
AMC 91-00;11AMC9197002;AMC9197 002;AMC9197 002;False;21369.1;True
AMC 91-00;11AMC9197003;AMC9197 003;AMC9197 003;False;27577.1;True
AMC 91-00;11AMC9197004;AMC9197 004;AMC9197 004;False;10200.2;True
AMC 91-00;11AMC9197005;AMC9197 005;AMC9197 005;False;9290.9;True
AMC 91-00;11AMC9197006;AMC9197 006;AMC9197 006;False;80292.59999999999;True
AMC 91-00;11AMC9197007;AMC9197 007;AMC9197 007;False;3222.0;True
AMC 91-00;11AMC9197008;AMC9197 008;AMC9197 008;False;31062.500000000004;True
Estados;12;Acre;ACRE;False;153149.9;False
Municípios;1200013;Acrelândia;ACRELANDIA;False;1609.7;False
AMC 91-00;120005;Assis Brasil;ASSIS BRASIL;False;2884.2;True
Municípios;1200054;Assis Brasil;ASSIS BRASIL;False;2884.2;False
Microrregiões;12001;Cruzeiro do Sul;CRUZEIRO DO SUL;False;29686.200000000004;False
Municípios;1200104;Brasiléia;BRASILEIA;False;4356.4;False
Municípios;1200138;Bujari;BUJARI;False;3397.9;False
Municípios;1200179;Capixaba;CAPIXABA;False;1724.0;False
Microrregiões;12002;Tarauacá;TARAUACA;False;45537.6;False
Municípios;1200203;Cruzeiro do Sul;CRUZEIRO DO SUL;False;7881.5;False
Municípios;1200252;Epitaciolândia;EPITACIOLANDIA;False;1659.3;False
Microrregiões;12003;Sena Madureira;SENA MADUREIRA;False;40823.600000000006;False
AMC 40-00;120030;Feijó;FEIJO;;22721.6;True
AMC 60-00;120030;Feijó;FEIJO;;22721.6;True
AMC 91-00;120030;Feijó;FEIJO;False;22721.6;True
AMC 70-00;120030;Feijó;FEIJO;False;22721.6;True
Municípios;1200302;Feijó;FEIJO;False;22721.6;False
Municípios;1200328;Jordão;JORDAO;False;6695.5;False
Municípios;1200336;Mâncio Lima;MANCIO LIMA;False;4692.2;False
Municípios;1200344;Manoel Urbano;MANOEL URBANO;False;9477.2;False
Municípios;1200351;Marechal Thaumaturgo;MARECHAL THAUMATURGO;False;7700.6;False
Municípios;1200385;Plácido de Castro;PLACIDO DE CASTRO;False;2055.6;False
Municípios;1200393;Porto Walter;PORTO WALTER;False;6093.4;False
Microrregiões;12004;Rio Branco;RIO BRANCO;False;23479.0;False
Municípios;1200401;Rio Branco;RIO BRANCO;True;9962.4;False
Municípios;1200427;Rodrigues Alves;RODRIGUES ALVES;False;3318.5;False
Municípios;1200435;Santa Rosa do Purus;SANTA ROSA DO PURUS;False;6049.7;False
Municípios;1200450;Senador Guiomard;SENADOR GUIOMARD;False;1806.4;False
Microrregiões;12005;Brasiléia;BRASILEIA;False;13623.5;False
AMC 91-00;120050;Sena Madureira;SENA MADUREIRA;False;25296.7;True
Municípios;1200500;Sena Madureira;SENA MADUREIRA;False;25296.7;False
Municípios;1200609;Tarauacá;TARAUACA;False;16120.5;False
Municípios;1200708;Xapuri;XAPURI;False;4723.6;False
Municípios;1200807;Porto Acre;PORTO ACRE;False;2923.0;False
Mesorregiões;1201;Vale do Juruá;VALE DO JURUA;False;75223.8;False
Mesorregiões;1202;Vale do Acre;VALE DO ACRE;False;77926.1;False
AMC 20-00;12AMC2097001;AMC2097 001;AMC2097 001;;29686.200000000004;True
AMC 20-00;12AMC2097002;AMC2097 002;AMC2097 002;;77926.1;True
AMC 20-00;12AMC2097003;AMC2097 003;AMC2097 003;;45537.6;True
AMC 40-00;12AMC4097001;AMC4097 001;AMC4097 001;;29686.200000000004;True
AMC 40-00;12AMC4097002;AMC4097 002;AMC4097 002;;77926.1;True
AMC 40-00;12AMC4097003;AMC4097 003;AMC4097 003;;22816.0;True
AMC 60-00;12AMC6097001;AMC6097 001;AMC6097 001;;29686.200000000004;True
AMC 60-00;12AMC6097002;AMC6097 002;AMC6097 002;;77926.1;True
AMC 60-00;12AMC6097003;AMC6097 003;AMC6097 003;;22816.0;True
AMC 70-00;12AMC7097001;AMC7097 001;AMC7097 001;False;29686.200000000004;True
AMC 70-00;12AMC7097002;AMC7097 002;AMC7097 002;False;77926.1;True
AMC 70-00;12AMC7097003;AMC7097 003;AMC7097 003;False;22816.0;True
AMC 91-00;12AMC9197001;AMC9197 001;AMC9197 001;False;29686.200000000004;True
AMC 91-00;12AMC9197002;AMC9197 002;AMC9197 002;False;15526.900000000001;True
AMC 91-00;12AMC9197003;AMC9197 003;AMC9197 003;False;28746.6;True
AMC 91-00;12AMC9197004;AMC9197 004;AMC9197 004;False;5471.700000000001;True
AMC 91-00;12AMC9197005;AMC9197 005;AMC9197 005;False;22816.0;True
Estados;13;Amazonas;AMAZONAS;False;1577820.2000000004;False
AMC 91-00;130002;Alvarães;ALVARAES;False;5937.9;True
Municípios;1300029;Alvarães;ALVARAES;False;5937.9;False
AMC 91-00;130006;Amaturá;AMATURA;False;4780.1;True
Municípios;1300060;Amaturá;AMATURA;False;4780.1;False
AMC 91-00;130008;Anamã;ANAMA;False;2464.8;True
Municípios;1300086;Anamã;ANAMA;False;2464.8;False
Microrregiões;13001;Rio Negro;RIO NEGRO;False;333857.3;False
AMC 91-00;130010;Anori;ANORI;False;6274.5;True
Municípios;1300102;Anori;ANORI;False;6274.5;False
AMC 91-00;130014;Apuí;APUI;False;54251.0;True
Municípios;1300144;Apuí;APUI;False;54251.0;False
Microrregiões;13002;Japurá;JAPURA;False;73029.1;False
AMC 60-00;130020;Atalaia do Norte;ATALAIA DO NORTE;;76687.1;True
AMC 91-00;130020;Atalaia do Norte;ATALAIA DO NORTE;False;76687.1;True
AMC 70-00;130020;Atalaia do Norte;ATALAIA DO NORTE;False;76687.1;True
Municípios;1300201;Atalaia do Norte;ATALAIA DO NORTE;False;76687.1;False
Microrregiões;13003;Alto Solimões;ALTO SOLIMOES;False;214217.8;False
AMC 91-00;130030;Autazes;AUTAZES;False;7632.1;True
Municípios;1300300;Autazes;AUTAZES;False;7632.1;False
Microrregiões;13004;Juruá;JURUA;False;122693.5;False
AMC 20-00;130040;Barcelos;BARCELOS;;123120.9;True
AMC 40-00;130040;Barcelos;BARCELOS;;123120.9;True
AMC 60-00;130040;Barcelos;BARCELOS;;123120.9;True
AMC 91-00;130040;Barcelos;BARCELOS;False;123120.9;True
AMC 70-00;130040;Barcelos;BARCELOS;False;123120.9;True
Municípios;1300409;Barcelos;BARCELOS;False;123120.9;False
Microrregiões;13005;Tefé;TEFE;False;40038.600000000006;False
AMC 91-00;130050;Barreirinha;BARREIRINHA;False;5749.8;True
Municípios;1300508;Barreirinha;BARREIRINHA;False;5749.8;False
Microrregiões;13006;Coari;COARI;False;112082.1;False
AMC 91-00;130060;Benjamin Constant;BENJAMIN CONSTANT;False;8742.6;True
Municípios;1300607;Benjamin Constant;BENJAMIN CONSTANT;False;8742.6;False
AMC 91-00;130063;Beruri;BERURI;False;17326.1;True
Municípios;1300631;Beruri;BERURI;False;17326.1;False
AMC 91-00;130068;Boa Vista do Ramos;BOA VISTA DO RAMOS;False;2598.1;True
Municípios;1300680;Boa Vista do Ramos;BOA VISTA DO RAMOS;False;2598.1;False
Microrregiões;13007;Manaus;MANAUS;False;41424.5;False
AMC 20-00;130070;Boca do Acre;BOCA DO ACRE;;22503.6;True
AMC 40-00;130070;Boca do Acre;BOCA DO ACRE;;22503.6;True
AMC 60-00;130070;Boca do Acre;BOCA DO ACRE;;22503.6;True
AMC 91-00;130070;Boca do Acre;BOCA DO ACRE;False;22503.6;True
AMC 70-00;130070;Boca do Acre;BOCA DO ACRE;False;22503.6;True
Municípios;1300706;Boca do Acre;BOCA DO ACRE;False;22503.6;False
Microrregiões;13008;Rio Preto da Eva;RIO PRETO DA EVA;False;31373.5;False
AMC 91-00;130080;Borba;BORBA;False;44452.6;True
Municípios;1300805;Borba;BORBA;False;44452.6;False
AMC 91-00;130083;Caapiranga;CAAPIRANGA;False;9498.6;True
Municípios;1300839;Caapiranga;CAAPIRANGA;False;9498.6;False
Microrregiões;13009;Itacoatiara;ITACOATIARA;False;25498.400000000005;False
AMC 60-00;130090;Canutama;CANUTAMA;;29946.5;True
AMC 91-00;130090;Canutama;CANUTAMA;False;29946.5;True
AMC 70-00;130090;Canutama;CANUTAMA;False;29946.5;True
Municípios;1300904;Canutama;CANUTAMA;False;29946.5;False
Mesorregiões;1301;Norte Amazonense;NORTE AMAZONENSE;False;406886.4;False
Microrregiões;13010;Parintins;PARINTINS;False;107507.6;False
AMC 91-00;130100;Carauari;CARAUARI;False;25881.2;True
Municípios;1301001;Carauari;CARAUARI;False;25881.2;False
Microrregiões;13011;Boca do Acre;BOCA DO ACRE;False;65950.2;False
AMC 91-00;130110;Careiro;CAREIRO;False;6124.3;True
Municípios;1301100;Careiro;CAREIRO;False;6124.3;False
AMC 91-00;130115;Careiro da Várzea;CAREIRO DA VARZEA;False;2643.0;True
Municípios;1301159;Careiro da Várzea;CAREIRO DA VARZEA;False;2643.0;False
Microrregiões;13012;Purus;PURUS;False;188168.2;False
AMC 20-00;130120;Coari;COARI;;57529.7;True
AMC 40-00;130120;Coari;COARI;;57529.7;True
AMC 60-00;130120;Coari;COARI;;57529.7;True
AMC 91-00;130120;Coari;COARI;False;57529.7;True
AMC 70-00;130120;Coari;COARI;False;57529.7;True
Municípios;1301209;Coari;COARI;False;57529.7;False
Microrregiões;13013;Madeira;MADEIRA;False;221979.40000000002;False
AMC 91-00;130130;Codajás;CODAJAS;False;18988.4;True
Municípios;1301308;Codajás;CODAJAS;False;18988.4;False
AMC 60-00;130140;Eirunepé;EIRUNEPE;;15946.0;True
AMC 91-00;130140;Eirunepé;EIRUNEPE;False;15946.0;True
AMC 70-00;130140;Eirunepé;EIRUNEPE;False;15946.0;True
Municípios;1301407;Eirunepé;EIRUNEPE;False;15946.0;False
AMC 60-00;130150;Envira;ENVIRA;;13381.1;True
AMC 70-00;130150;Envira;ENVIRA;False;13381.1;True
AMC 91-00;130150;Envira;ENVIRA;False;13381.1;True
Municípios;1301506;Envira;ENVIRA;False;13381.1;False
AMC 60-00;130160;Fonte Boa;FONTE BOA;;12165.0;True
AMC 91-00;130160;Fonte Boa;FONTE BOA;False;12165.0;True
AMC 70-00;130160;Fonte Boa;FONTE BOA;False;12165.0;True
Municípios;1301605;Fonte Boa;FONTE BOA;False;12165.0;False
AMC 91-00;130165;Guajará;GUAJARA;False;8983.7;True
Municípios;1301654;Guajará;GUAJARA;False;8983.7;False
AMC 60-00;130170;Humaitá;HUMAITA;;33213.3;True
AMC 20-00;130170;Humaitá;HUMAITA;;33213.3;True
AMC 40-00;130170;Humaitá;HUMAITA;;33213.3;True
AMC 91-00;130170;Humaitá;HUMAITA;False;33213.3;True
AMC 70-00;130170;Humaitá;HUMAITA;False;33213.3;True
Municípios;1301704;Humaitá;HUMAITA;False;33213.3;False
AMC 91-00;130180;Ipixuna;IPIXUNA;False;13630.7;True
Municípios;1301803;Ipixuna;IPIXUNA;False;13630.7;False
AMC 91-00;130185;Iranduba;IRANDUBA;False;2213.6;True
Municípios;1301852;Iranduba;IRANDUBA;False;2213.6;False
AMC 91-00;130190;Itacoatiara;ITACOATIARA;False;8949.2;True
Municípios;1301902;Itacoatiara;ITACOATIARA;False;8949.2;False
AMC 91-00;130195;Itamarati;ITAMARATI;False;25385.2;True
Municípios;1301951;Itamarati;ITAMARATI;False;25385.2;False
Mesorregiões;1302;Sudoeste Amazonense;SUDOESTE AMAZONENSE;False;336911.3;False
AMC 91-00;130200;Itapiranga;ITAPIRANGA;False;4249.6;True
Municípios;1302009;Itapiranga;ITAPIRANGA;False;4249.6;False
AMC 60-00;130210;Japurá;JAPURA;;56042.9;True
AMC 91-00;130210;Japurá;JAPURA;False;56042.9;True
AMC 70-00;130210;Japurá;JAPURA;False;56042.9;True
Municípios;1302108;Japurá;JAPURA;False;56042.9;False
AMC 60-00;130220;Juruá;JURUA;;19485.6;True
AMC 70-00;130220;Juruá;JURUA;False;19485.6;True
AMC 91-00;130220;Juruá;JURUA;False;19485.6;True
Municípios;1302207;Juruá;JURUA;False;19485.6;False
AMC 60-00;130230;Jutaí;JUTAI;;69857.4;True
AMC 91-00;130230;Jutaí;JUTAI;False;69857.4;True
AMC 70-00;130230;Jutaí;JUTAI;False;69857.4;True
Municípios;1302306;Jutaí;JUTAI;False;69857.4;False
AMC 60-00;130240;Lábrea;LABREA;;68508.6;True
AMC 70-00;130240;Lábrea;LABREA;False;68508.6;True
AMC 91-00;130240;Lábrea;LABREA;False;68508.6;True
Municípios;1302405;Lábrea;LABREA;False;68508.6;False
AMC 91-00;130250;Manacapuru;MANACAPURU;False;7367.9;True
Municípios;1302504;Manacapuru;MANACAPURU;False;7367.9;False
AMC 91-00;130255;Manaquiri;MANAQUIRI;False;3985.1;True
Municípios;1302553;Manaquiri;MANAQUIRI;False;3985.1;False
AMC 91-00;130260;Manaus;MANAUS;False;11458.5;True
Municípios;1302603;Manaus;MANAUS;True;11458.5;False
AMC 60-00;130270;Manicoré;MANICORE;;48491.2;True
AMC 91-00;130270;Manicoré;MANICORE;False;48491.2;True
AMC 70-00;130270;Manicoré;MANICORE;False;48491.2;True
Municípios;1302702;Manicoré;MANICORE;False;48491.2;False
AMC 60-00;130280;Maraã;MARAA;;16986.2;True
AMC 70-00;130280;Maraã;MARAA;False;16986.2;True
AMC 91-00;130280;Maraã;MARAA;False;16986.2;True
Municípios;1302801;Maraã;MARAA;False;16986.2;False
AMC 91-00;130290;Maués;MAUES;False;40163.8;True
Municípios;1302900;Maués;MAUES;False;40163.8;False
Mesorregiões;1303;Centro Amazonense;CENTRO AMAZONENSE;False;357924.7;False
AMC 60-00;130300;Nhamundá;NHAMUNDA;;14173.5;True
AMC 91-00;130300;Nhamundá;NHAMUNDA;False;14173.5;True
AMC 70-00;130300;Nhamundá;NHAMUNDA;False;14173.5;True
Municípios;1303007;Nhamundá;NHAMUNDA;False;14173.5;False
AMC 60-00;130310;Nova Olinda do Norte;NOVA OLINDA DO NORTE;;5633.0;True
AMC 70-00;130310;Nova Olinda do Norte;NOVA OLINDA DO NORTE;False;5633.0;True
AMC 91-00;130310;Nova Olinda do Norte;NOVA OLINDA DO NORTE;False;5633.0;True
Municípios;1303106;Nova Olinda do Norte;NOVA OLINDA DO NORTE;False;5633.0;False
AMC 91-00;130320;Novo Airão;NOVO AIRAO;False;37940.2;True
Municípios;1303205;Novo Airão;NOVO AIRAO;False;37940.2;False
AMC 91-00;130330;Novo Aripuanã;NOVO ARIPUANA;False;41571.3;True
Municípios;1303304;Novo Aripuanã;NOVO ARIPUANA;False;41571.3;False
AMC 60-00;130340;Parintins;PARINTINS;;6004.9;True
AMC 91-00;130340;Parintins;PARINTINS;False;6004.9;True
AMC 70-00;130340;Parintins;PARINTINS;False;6004.9;True
Municípios;1303403;Parintins;PARINTINS;False;6004.9;False
AMC 60-00;130350;Pauini;PAUINI;;43446.6;True
AMC 70-00;130350;Pauini;PAUINI;False;43446.6;True
AMC 91-00;130350;Pauini;PAUINI;False;43446.6;True
Municípios;1303502;Pauini;PAUINI;False;43446.6;False
AMC 91-00;130353;Presidente Figueiredo;PRESIDENTE FIGUEIREDO;False;25534.5;True
Municípios;1303536;Presidente Figueiredo;PRESIDENTE FIGUEIREDO;False;25534.5;False
AMC 91-00;130356;Rio Preto da Eva;RIO PRETO DA EVA;False;5839.0;True
Municípios;1303569;Rio Preto da Eva;RIO PRETO DA EVA;False;5839.0;False
AMC 60-00;130360;Santa Isabel do Rio Negro;SANTA ISABEL DO RIO NEGRO;;63127.2;True
AMC 91-00;130360;Santa Isabel do Rio Negro;SANTA ISABEL DO RIO NEGRO;False;63127.2;True
AMC 70-00;130360;Santa Isabel do Rio Negro;SANTA ISABEL DO RIO NEGRO;False;63127.2;True
Municípios;1303601;Santa Isabel do Rio Negro;SANTA ISABEL DO RIO NEGRO;False;63127.2;False
AMC 91-00;130370;Santo Antônio do Içá;SANTO ANTONIO DO ICA;False;12363.0;True
Municípios;1303700;Santo Antônio do Içá;SANTO ANTONIO DO ICA;False;12363.0;False
AMC 60-00;130380;São Gabriel da Cachoeira;SAO GABRIEL DA CACHOEIRA;;109669.0;True
AMC 91-00;130380;São Gabriel da Cachoeira;SAO GABRIEL DA CACHOEIRA;False;109669.0;True
AMC 70-00;130380;São Gabriel da Cachoeira;SAO GABRIEL DA CACHOEIRA;False;109669.0;True
Municípios;1303809;São Gabriel da Cachoeira;SAO GABRIEL DA CACHOEIRA;False;109669.0;False
AMC 91-00;130390;São Paulo de Olivença;SAO PAULO DE OLIVENCA;False;19922.0;True
Municípios;1303908;São Paulo de Olivença;SAO PAULO DE OLIVENCA;False;19922.0;False
AMC 91-00;130395;São Sebastião do Uatumã;SAO SEBASTIAO DO UATUMA;False;10788.7;True
Municípios;1303957;São Sebastião do Uatumã;SAO SEBASTIAO DO UATUMA;False;10788.7;False
Mesorregiões;1304;Sul Amazonense;SUL AMAZONENSE;False;476097.8;False
AMC 91-00;130400;Silves;SILVES;False;3747.2;True
Municípios;1304005;Silves;SILVES;False;3747.2;False
AMC 91-00;130406;Tabatinga;TABATINGA;False;3239.3;True
Municípios;1304062;Tabatinga;TABATINGA;False;3239.3;False
AMC 91-00;130410;Tapauá;TAPAUA;False;89713.1;True
Municípios;1304104;Tapauá;TAPAUA;False;89713.1;False
AMC 91-00;130420;Tefé;TEFE;False;23808.9;True
Municípios;1304203;Tefé;TEFE;False;23808.9;False
AMC 91-00;130423;Tonantins;TONANTINS;False;6461.3;True
Municípios;1304237;Tonantins;TONANTINS;False;6461.3;False
AMC 91-00;130426;Uarini;UARINI;False;10291.8;True
Municípios;1304260;Uarini;UARINI;False;10291.8;False
AMC 91-00;130430;Urucará;URUCARA;False;28028.8;True
Municípios;1304302;Urucará;URUCARA;False;28028.8;False
AMC 91-00;130440;Urucurituba;URUCURITUBA;False;2919.4;True
Municípios;1304401;Urucurituba;URUCURITUBA;False;2919.4;False
AMC 20-00;13AMC2097001;AMC2097 001;AMC2097 001;;111955.20000000001;True
AMC 20-00;13AMC2097002;AMC2097 002;AMC2097 002;;466884.30000000005;True
AMC 20-00;13AMC2097003;AMC2097 003;AMC2097 003;;20178.4;True
AMC 20-00;13AMC2097004;AMC2097 004;AMC2097 004;;172796.2;True
AMC 20-00;13AMC2097005;AMC2097 005;AMC2097 005;;132195.40000000002;True
AMC 20-00;13AMC2097006;AMC2097 006;AMC2097 006;;437443.20000000007;True
AMC 40-00;13AMC4097001;AMC4097 001;AMC4097 001;;82022.4;True
AMC 40-00;13AMC4097002;AMC4097 002;AMC4097 002;;111955.20000000001;True
AMC 40-00;13AMC4097003;AMC4097 003;AMC4097 003;;466884.30000000005;True
AMC 40-00;13AMC4097004;AMC4097 004;AMC4097 004;;20178.4;True
AMC 40-00;13AMC4097005;AMC4097 005;AMC4097 005;;172796.2;True
AMC 40-00;13AMC4097006;AMC4097 006;AMC4097 006;;132195.40000000002;True
AMC 40-00;13AMC4097007;AMC4097 007;AMC4097 007;;355420.80000000005;True
AMC 60-00;13AMC6097001;AMC6097 001;AMC6097 001;;140979.5;True
AMC 60-00;13AMC6097002;AMC6097 002;AMC6097 002;;22614.4;True
AMC 60-00;13AMC6097003;AMC6097 003;AMC6097 003;;361329.00000000006;True
AMC 60-00;13AMC6097004;AMC6097 004;AMC6097 004;;51431.100000000006;True
AMC 60-00;13AMC6097005;AMC6097 005;AMC6097 005;;55508.3;True
AMC 60-00;13AMC6097006;AMC6097 006;AMC6097 006;;40038.600000000006;True
AMC 70-00;13AMC7097001;AMC7097 001;AMC7097 001;False;140979.5;True
AMC 70-00;13AMC7097002;AMC7097 002;AMC7097 002;False;22614.4;True
AMC 70-00;13AMC7097003;AMC7097 003;AMC7097 003;False;361329.00000000006;True
AMC 70-00;13AMC7097004;AMC7097 004;AMC7097 004;False;51431.100000000006;True
AMC 70-00;13AMC7097005;AMC7097 005;AMC7097 005;False;55508.3;True
AMC 70-00;13AMC7097006;AMC7097 006;AMC7097 006;False;40038.600000000006;True
Estados;14;Roraima;RORAIMA;False;225116.1;False
Municípios;1400027;Amajari;AMAJARI;False;28598.4;False
AMC 91-00;140005;Alto Alegre;ALTO ALEGRE;False;26109.7;True
Municípios;1400050;Alto Alegre;ALTO ALEGRE;False;26109.7;False
Microrregiões;14001;Boa Vista;BOA VISTA;False;68483.90000000001;False
Municípios;1400100;Boa Vista;BOA VISTA;True;5711.9;False
Municípios;1400159;Bonfim;BONFIM;False;8131.5;False
Municípios;1400175;Cantá;CANTA;False;7691.0;False
Microrregiões;14002;Nordeste de Roraima;NORDESTE DE RORAIMA;False;30921.100000000002;False
Municípios;1400209;Caracaraí;CARACARAI;False;47623.6;False
Municípios;1400233;Caroebe;CAROEBE;False;12098.5;False
Municípios;1400282;Iracema;IRACEMA;False;14403.9;False
Microrregiões;14003;Caracaraí;CARACARAI;False;74009.0;False
Municípios;1400308;Mucajaí;MUCAJAI;False;11981.5;False
Microrregiões;14004;Sudeste de Roraima;SUDESTE DE RORAIMA;False;51702.1;False
Municípios;1400407;Normandia;NORMANDIA;False;7007.9;False
Municípios;1400456;Pacaraima;PACARAIMA;False;8063.9;False
Municípios;1400472;Rorainópolis;RORAINOPOLIS;False;33745.0;False
Municípios;1400506;São João da Baliza;SAO JOAO DA BALIZA;False;4324.7;False
Municípios;1400605;São Luiz;SAO LUIZ;False;1533.9;False
Municípios;1400704;Uiramutã;UIRAMUTA;False;8090.7;False
Mesorregiões;1401;Norte de Roraima;NORTE DE RORAIMA;False;99405.0;False
Mesorregiões;1402;Sul de Roraima;SUL DE RORAIMA;False;125711.09999999999;False
AMC 1872-00;14AMC1872_1997001;AMC1872_1997 001;AMC1872_1997 001;;521033.2000000001;True
