Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
HipertensãoDiabetes Tipo 1Diabetes Tipo 2Hiper c/ Diabete por Macrorreg de Saúde/Município
Período:Jan/2002-Abr/2013
"Macrorreg de Saúde/Município";"Hipertensão";"Diabetes_Tipo_1";"Diabetes_Tipo_2";"Hiper_c/_Diabete"
".....  EMBU-GUACU";1461;16;60;768
"3524 RRAS3";9857;235;405;4800
".....  CAIEIRAS";2755;119;221;2225
".....  FRANCISCO MORATO";1923;10;30;528
".....  MAIRIPORA";1030;55;26;568
".....  CAJAMAR";962;15;61;414
".....  FRANCO DA ROCHA";3187;36;67;1065
"3525 RRAS2";83894;2172;6229;44895
".....  ARUJA";3146;17;151;1423
".....  MOGI DAS CRUZES";11015;395;1094;6537
".....  SANTA ISABEL";5165;138;343;1903
".....  POA";984;14;78;656
".....  BIRITIBA-MIRIM";1328;18;28;507
".....  GUARAREMA";867;9;45;448
".....  SUZANO";12782;309;759;4628
".....  GUARULHOS";39046;806;2818;20636
".....  ITAQUAQUECETUBA";4844;271;534;4910
".....  SALESOPOLIS";385;7;20;195
".....  FERRAZ DE VASCONCELOS";4332;188;359;3052
"3526 RRAS17";92564;2233;6488;42022
".....  CARAGUATATUBA";3031;80;206;1380
".....  CAMPOS DO JORDAO";3286;141;189;1455
".....  PIQUETE";330;11;21;215
".....  CACAPAVA";5910;180;365;2401
".....  CRUZEIRO";2312;83;269;1441
".....  IGARATA";945;23;44;315
".....  GUARATINGUETA";2877;49;115;1449
".....  CANAS";170;3;6;98
".....  SAO JOSE DO BARREIRO";608;2;23;106
".....  SAO BENTO DO SAPUCAI";990;26;114;403
".....  AREIAS";769;6;17;147
".....  JACAREI";11120;214;772;4680
".....  ILHABELA";2374;42;130;1084
".....  LORENA";3053;61;141;1512
".....  JAMBEIRO";99;1;1;77
".....  SAO SEBASTIAO";6432;83;314;2420
".....  PARAIBUNA";2111;22;64;451
".....  ARAPEI";420;7;9;83
".....  TAUBATE";3374;132;488;3288
".....  TREMEMBE";1631;33;92;773
".....  SANTO ANTONIO DO PINHAL";405;3;32;151
".....  SANTA BRANCA";245;5;8;97
".....  POTIM";1145;23;137;500
".....  PINDAMONHANGABA";4809;63;502;2410
".....  CACHOEIRA PAULISTA";2533;71;170;1040
".....  SAO JOSE DOS CAMPOS";23166;747;1899;11690
".....  ROSEIRA";748;18;44;315
".....  UBATUBA";6843;93;285;1787
".....  SILVEIRAS";449;3;15;105
".....  APARECIDA";263;8;12;109
".....  BANANAL";105;-;4;32
".....  MONTEIRO LOBATO";11;-;-;8
"3527 RRAS16";42329;834;1753;15971
".....  NAZARE PAULISTA";746;41;32;324
".....  CABREUVA";731;17;46;543
".....  SOCORRO";1057;8;48;432
".....  VARGEM";277;5;10;115
".....  ITUPEVA";536;7;14;280
".....  JARINU";501;3;12;172
".....  VARZEA PAULISTA";315;1;15;177
".....  JUNDIAI";6063;49;278;2975
".....  ATIBAIA";10446;152;395;3931
".....  LOUVEIRA";2824;66;158;1524
".....  BRAGANCA PAULISTA";18691;461;712;5199
".....  TUIUTI";24;1;4;19
".....  CAMPO LIMPO PAULISTA";118;23;29;280
"3528 RRAS15";77709;1718;5751;37154
".....  ARTUR NOGUEIRA";616;3;29;258
".....  MOGI GUACU";6143;167;570;3182
".....  AMPARO";3127;31;141;958
".....  PEDREIRA";1127;29;74;441
".....  PAULINIA";1538;23;89;712
".....  SANTA BARBARA D'OESTE";742;8;55;516
".....  DIVINOLANDIA";1379;28;41;383
".....  COSMOPOLIS";1717;23;61;768
".....  CASA BRANCA";505;23;53;272
".....  INDAIATUBA";4466;119;446;2691
".....  TAPIRATIBA";1075;22;47;340
".....  CACONDE";1494;12;65;472
".....  MOCOCA";2463;108;340;1720
